NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR,f_cluster
62,CIPAGANTI,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3600000,32,1
63,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,PIAGGIO,PRIMAVERA S 150 ABS,20000000,33,1
64,LEMBANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,PIAGGIO,SPRINT S I-GET150ABS,15000000,17,1
65,TANIMULYA,NGAMPRAH,KAB. BANDUNG,MOTOR BARU,KYMCO,LIKE 150 I,9000000,33,1
66,CIHIDEUNG,PARONGPONG,KAB. BANDUNG,MOTOR BARU,YAMAHA,WR 155 R,7600000,35,1
69,BAROS,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 125 ESP CBS,3300000,35,1
70,CIKALONG,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,35,1
72,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,22,1
73,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,22,1
74,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,PIAGGIO,SPRINT I-GET 150,17500000,33,1
75,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,PIAGGIO,SPRINT I-GET 150,10500000,33,1
76,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,4700000,29,1
78,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,LEXI,4100000,35,1
79,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,1900000,35,1
80,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,N-MAX,4900000,35,1
83,SUKARASA,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2550000,35,1
84,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 G,6200000,35,1
85,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,PCX150,4000000,35,1
87,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3000000,35,1
89,CIGUGUR GIRANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2454716,29,1
90,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,SCOOPY ESP,4921668,29,1
93,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CW,1223141,30,1
94,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 125ESP CBS ISS,794434,34,1
95,KERTAWANGI,CISARUA,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2212911,29,1
96,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,4500000,29,1
97,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3690314,25,1
98,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI CBS ISS,1563788,31,1
99,MEKARWANGI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,3392983,27,1
101,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,LEXI,4400000,35,1
103,PAGERWANGI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3678148,24,1
105,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,1738454,33,1
107,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,ADV 150 CBS,7500000,35,1
110,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,GENIO CBS,3600000,33,1
117,CIKIDANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,14900000,23,1
118,KERTAWANGI,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7400000,33,1
119,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 150 ESP SPORTY,6500000,35,1
120,KAYUAMBON,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,6762149,16,1
121,ISOLA,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,SCOOPY ESP,5729190,19,1
122,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NEW SCOOPY PRESTIGE,4250000,23,1
124,LEMBANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125 CBS ISS,3653220,27,1
127,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7349727,29,1
128,CIBODAS,LEMBANG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT CBS FI,4250000,23,1
132,JAMBUDIPA,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4500000,35,1
134,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,CB VERZA 150,3000000,23,1
135,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2700000,22,1
139,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,CBR 150 R,5000000,35,1
140,JAYAGIRI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,LEXI,3200000,33,1
141,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,PCX150,6000000,35,1
144,PADALARANG,PADALARANG,KAB. BANDUNG,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,7800000,35,1
147,LANGENSARI,LEMBANG,KAB. BANDUNG,MOTOR BARU,PIAGGIO,VESPA S125 IGET3V IE,8500000,33,1
148,PASIRHALANG,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,6200000,29,1
153,CIHANJUANG,PARONGPONG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,32,1
154,SAGULING,SAGULING,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3000000,33,1
155,LEMBANG,LEMBANG,KAB. BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,6000000,29,1
157,MEKARJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,PIAGGIO,VESPA S125 IGET3V IE,20000000,21,1
159,JAYAMEKAR,PADALARANG,KAB. BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 G,5000000,35,1
161,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4500000,23,1
164,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,SUPRA GTR 150 SPORTY,4900000,23,1
165,CIGUGUR GIRANG,PARONGPONG,KAB. BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,6100000,35,1
166,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,4700000,29,1
168,CIPEUNDEUY,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,10000000,29,1
169,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,33,1
171,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,5600000,33,1
172,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 125 ESP CBS,4400000,22,1
173,CIHIDEUNG,PARONGPONG,KAB. BANDUNG,MOTOR BARU,PIAGGIO,PRIMAVERA S 150 ABS,15000000,21,1
174,GIRIASIH,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,KAWASAKI,NINJA 250 SL,17500000,35,1
179,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,NEW SCOOPY RETRO,2200000,35,1
181,PASTEUR,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,R25,11000000,35,1
185,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW REVO FI FIT,2693466,30,1
186,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,YAMAHA,N-MAX,5378877,28,1
187,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,3628422,29,1
188,LAKSANAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3371820,27,1
189,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,5378877,28,1
190,PAGERWANGI,LEMBANG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2986961,26,1
192,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,2162440,30,1
193,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,1210,35,1
194,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2077095,30,1
195,CIKIDANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3052506,28,1
196,MEKARJAYA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3162795,35,1
198,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3468888,26,1
199,PAGERWANGI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,3044865,31,1
200,PASTEUR,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,N-MAX,5800000,35,1
201,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,CRF 150 L,7000000,35,1
206,JAYAGIRI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,35,1
214,CIPAGANTI,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NEW PCX 150 ABS,5000000,35,1
216,GUDANGKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2800000,34,1
217,CIPAGANTI,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CW,4327535,26,1
218,CIHANJUANG RAHAYU,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,3953754,24,1
219,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,34,1
220,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,GENIO ISS,4079350,25,1
221,CIGUGUR GIRANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3400000,23,1
222,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,8900000,35,1
223,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT CBS FI,3400000,32,1
228,GUDANGKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3600000,23,1
230,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,4762849,22,1
231,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,N-MAX,4900000,35,1
232,BOJONGKONENG,NGAMPRAH,KAB. BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 G,9300000,35,1
234,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,1900000,33,1
235,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,1900000,35,1
239,GUNUNGMASIGIT,CIPATAT,KAB. BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 G,6400000,35,1
240,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 150 ESP SPORTY,14200000,35,1
241,LAKSANAMEKAR,PADALARANG,KAB. BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,10000000,29,1
242,MELONG,CIMAHI SELATAN,KOTA BANDUNG,MOTOR BARU,PIAGGIO,VESPA LX 125 I-GET,8000000,33,1
243,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,NINJA 250,22000000,35,1
244,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,PIAGGIO,PRIMAVERA 150 ABS,13000000,21,1
246,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,17,1
247,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,PIAGGIO,PRIMAVERA 150 ABS,9400000,33,1
248,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NSCOOPY FI SPRT MTRO,4100000,33,1
249,SUKAJAYA,LEMBANG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,4300000,33,1
250,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125 ESPCBS ISS,4400000,35,1
251,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,KAWASAKI,W175 TR SE,7900000,23,1
254,PADALARANG,PADALARANG,KAB. BANDUNG,MOTOR BARU,KAWASAKI,W175 TR SE,8200000,23,1
256,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,15000000,23,1
257,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,3000000,22,1
258,CIPADA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,6000000,11,1
259,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4600000,33,1
260,CIPATIK,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125 CBS ISS,5000000,35,1
261,KERTAMULYA,PADALARANG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,KLX 150 G,4800000,35,1
263,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,NEW SCOOPY SPORTY,5000000,33,1
264,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,4500000,33,1
265,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CW,1800000,35,1
267,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2000000,33,1
268,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,N-MAX,6500000,35,1
269,MARGA LAKSANA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125 CBS ISS,3000000,35,1
271,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,SCOOPY ESP,2200000,35,1
272,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,1593963,30,1
273,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,YAMAHA,AEROX 155 VVA,4257675,29,1
275,WANGUNHARJA,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CW FI,4038703,24,1
276,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,R15,5616300,30,1
277,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,GENIO CBS,642339,32,1
278,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,3847185,31,1
279,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,4000000,35,1
283,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,YAMAHA,LEXI,5087319,25,1
284,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,SCOOPY ESP,3629212,26,1
285,SUNTENJAYA,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,6102769,25,1
286,LANGENSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,4721609,28,1
287,CIWARUGA,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,5600000,35,1
288,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,CRF 150 L,9500000,35,1
290,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,N-MAX,6440795,25,1
292,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5000000,23,1
293,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,CBR 150 R,13235142,21,1
294,WANGUNSARI,LEMBANG,KAB. BANDUNG,MOTOR BARU,HONDA,NEW SCOOPY STYLISH,4100000,33,1
295,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,1740601,32,1
296,SARIWANGI,PARONGPONG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT CBS FI,3400000,35,1
299,CIPADA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,5100000,33,1
301,ISOLA,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 150 ESP EXCLSV,5000000,33,1
302,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3000000,23,1
305,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2700000,33,1
308,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,4700000,35,1
309,LEMBANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,34,1
311,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 125 CBS ISS,5500000,35,1
312,LEMBANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,3800000,33,1
314,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,10911430,20,1
315,GEGER KALONG,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 125 ESP CBS,8737814,18,1
316,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT CBS FI,5482077,19,1
317,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,7378551,17,1
318,CIKIDANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,SCOOPY FI CLASSIC,11840065,9,1
320,GUNUNGMASIGIT,CIPATAT,BANDUNG BARAT,MOTOR BARU,KAWASAKI,KLX 150 G,7000000,35,1
321,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 150 ESP SPORTY,2600000,33,1
323,KAYUAMBON,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,SCOOPY FI CLASSIC,4768753,23,1
324,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7400000,33,1
330,PASIRLANGU,CISARUA,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,5500000,34,1
331,CIMAHI,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,KAWASAKI,KLX 150 BF,12748409,26,1
332,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,5000000,32,1
334,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,NEW SCOOPY SPORTY,4100000,22,1
337,JAYAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,W175 TR SE,6600000,33,1
338,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY STYLISH,4300000,17,1
339,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3000000,22,1
340,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,22,1
344,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,33,1
345,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,ADV 150 CBS,7500000,33,1
346,LEMBANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,10500000,23,1
347,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,LEXI,3900000,29,1
353,KAYUAMBON,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,5300000,33,1
354,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2000000,35,1
355,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2650000,35,1
356,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,CB 150 R STREETFIRE,2685316,31,1
357,PADAASIH,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,FREEGO,4505935,25,1
359,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3608829,25,1
360,CIPAGANTI,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NVARIO 125 ESP CBS,3768536,25,1
361,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,NEW BEAT STREET ESP,1242781,32,1
362,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2781299,29,1
363,CIGUGUR GIRANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2565501,28,1
